relative_path,top_folder,bucket,filename,extension,md5_annas,title_from_filename,author_from_filename,size_bytes
akan/Akan-Ashanti Folk-tales -- Rattray R_S_ -- 663224a9bfa819d358062569bf0aa71f.pdf,akan,akan,Akan-Ashanti Folk-tales -- Rattray R_S_ -- 663224a9bfa819d358062569bf0aa71f.pdf,.pdf,663224a9bfa819d358062569bf0aa71f,Akan-Ashanti Folk-tales,Rattray R_S_,13712110
"akan/An essay on African philosophical thought _ the Akan -- Gyekye, Kwame -- Rev_ ed_, Philadelphia, Pennsylvania, 1995 -- Philadelphia _ Temple -- isbn13 9781566393805 -- 8a6588dc002aa171312401d102441209.pdf",akan,akan,"An essay on African philosophical thought _ the Akan -- Gyekye, Kwame -- Rev_ ed_, Philadelphia, Pennsylvania, 1995 -- Philadelphia _ Temple -- isbn13 9781566393805 -- 8a6588dc002aa171312401d102441209.pdf",.pdf,8a6588dc002aa171312401d102441209,An essay on African philosophical thought _ the Akan,"Gyekye, Kwame",11046624
akan/Ashanti -- Capt_ R_ S_ Rattray -- eab62623f2e1fe1d68f9a22cae963790.pdf,akan,akan,Ashanti -- Capt_ R_ S_ Rattray -- eab62623f2e1fe1d68f9a22cae963790.pdf,.pdf,eab62623f2e1fe1d68f9a22cae963790,Ashanti,Capt_ R_ S_ Rattray,24103407
"archiv/Ancient Astrology in Theory and Practice_ A Manual of -- Demetra George, Chris Brennan -- Illustrated, PS, 2019 -- Rubedo Press -- isbn13 9780473445393 -- 179f3a10f9781350a15bc5256ad089a3.pdf",archiv,archiv,"Ancient Astrology in Theory and Practice_ A Manual of -- Demetra George, Chris Brennan -- Illustrated, PS, 2019 -- Rubedo Press -- isbn13 9780473445393 -- 179f3a10f9781350a15bc5256ad089a3.pdf",.pdf,179f3a10f9781350a15bc5256ad089a3,Ancient Astrology in Theory and Practice_ A Manual of,"Demetra George, Chris Brennan",41314314
archiv/Christian-Astrology-II -- William-Lilly -- c43f8b598f78793682c90fca57a90dca -- Anna’s Archive.pdf,archiv,archiv,Christian-Astrology-II -- William-Lilly -- c43f8b598f78793682c90fca57a90dca -- Anna’s Archive.pdf,.pdf,c43f8b598f78793682c90fca57a90dca,Christian-Astrology-II,William-Lilly,3172638
"archiv/Four treatises of Theophrastus von Hohenheim, called -- Paracelsus; Henry Sigerest -- 2010 -- The Johns Hopkins University Press -- isbn13 9780801855238 -- 024a9459d69f45b744b4873dbac8286c -- Anna’s Archive.epub",archiv,archiv,"Four treatises of Theophrastus von Hohenheim, called -- Paracelsus; Henry Sigerest -- 2010 -- The Johns Hopkins University Press -- isbn13 9780801855238 -- 024a9459d69f45b744b4873dbac8286c -- Anna’s Archive.epub",.epub,024a9459d69f45b744b4873dbac8286c,"Four treatises of Theophrastus von Hohenheim, called",Paracelsus; Henry Sigerest,752621
"archiv/I Ching, The Oracle of the Cosmic Way -- Moog, Hanna & Anthony, Carol K_ -- 2011 -- ICHINGBOOKS -- 812546694fbc51e0c7103c41c0929d4b -- Anna’s Archive.epub",archiv,archiv,"I Ching, The Oracle of the Cosmic Way -- Moog, Hanna & Anthony, Carol K_ -- 2011 -- ICHINGBOOKS -- 812546694fbc51e0c7103c41c0929d4b -- Anna’s Archive.epub",.epub,812546694fbc51e0c7103c41c0929d4b,"I Ching, The Oracle of the Cosmic Way","Moog, Hanna & Anthony, Carol K_",1259706
"archiv/The Complete Rave I'Ching -- Hu, Ra Uru -- US, 2011 -- CreateSpace Independent Publishing Platform -- isbn13 9781463639457 -- 6d435cc45d582500d99b71f9c2811951 -- Anna’s Archive.pdf",archiv,archiv,"The Complete Rave I'Ching -- Hu, Ra Uru -- US, 2011 -- CreateSpace Independent Publishing Platform -- isbn13 9781463639457 -- 6d435cc45d582500d99b71f9c2811951 -- Anna’s Archive.pdf",.pdf,6d435cc45d582500d99b71f9c2811951,The Complete Rave I'Ching,"Hu, Ra Uru",8703142
archiv/The Complete Rave I’Ching ( human design) -- Ra Uru Hu -- 262ddb6c289dfc294a497b40c7c37225 -- Anna’s Archive.pdf,archiv,archiv,The Complete Rave I’Ching ( human design) -- Ra Uru Hu -- 262ddb6c289dfc294a497b40c7c37225 -- Anna’s Archive.pdf,.pdf,262ddb6c289dfc294a497b40c7c37225,The Complete Rave I’Ching ( human design),Ra Uru Hu,9875709
"archiv/The Life Force _ the Channels, an investigation for -- Ra Uru Hu -- c0595584888bbacf1507c36c743b3d88 -- Anna’s Archive.epub",archiv,archiv,"The Life Force _ the Channels, an investigation for -- Ra Uru Hu -- c0595584888bbacf1507c36c743b3d88 -- Anna’s Archive.epub",.epub,c0595584888bbacf1507c36c743b3d88,"The Life Force _ the Channels, an investigation for",Ra Uru Hu,4900414
